episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
37,1.0,139,168,29,0.1726,139.0,60.0,17.71,18.0,0.9837,2.3167,17.61,0.0,0.06,1209.03,60,0.253952,70308.966406,1.4675,-0.368587,0.7119,1.0,1.2981
38,1.0,113,133,20,0.1504,113.0,60.0,16.91,18.0,0.9393,1.8833,16.81,0.0,0.06,875.53,60,0.228784,39758.680859,1.46826,-0.319088,0.7968,1.0,1.2252
39,1.0,126,145,19,0.131,126.0,60.0,21.29,18.0,1.1828,2.1,21.19,0.0,0.06,1259.86,60,0.370164,74458.458594,1.468884,-0.338817,0.6958,1.0,1.3044
40,1.0,111,136,25,0.1838,111.0,60.0,12.9,18.0,0.7164,1.85,12.8,0.0,0.06,883.08,60,0.2462,35868.577344,1.469455,-0.307392,0.9951,1.0,1.4154
41,1.0,125,145,20,0.1379,125.0,60.0,20.26,18.0,1.1255,2.0833,20.16,0.0,0.06,1076.83,60,0.778609,55238.345312,1.470176,-0.464851,0.8812,1.0,1.2615
42,1.0,117,134,17,0.1269,117.0,60.0,20.26,18.0,1.1254,1.95,20.16,0.0,0.06,950.15,60,0.280965,55054.238672,1.470986,-0.435423,0.742,1.0,1.3517
43,1.0,124,144,20,0.1389,124.0,60.0,19.98,18.0,1.1099,2.0667,19.88,0.0,0.06,1432.33,60,1.409147,83546.479688,1.47175,-0.534613,0.994,1.0,1.3515
44,1.0,121,147,26,0.1769,121.0,60.0,14.9,18.0,0.8277,2.0167,14.8,0.0,0.06,624.53,60,0.400164,20406.759961,1.472643,-0.293503,0.8927,1.0,1.241
45,1.0,119,149,30,0.2013,119.0,60.0,11.74,18.0,0.6522,1.9833,11.64,0.0,0.06,753.1,60,0.289245,20560.145898,1.473614,-0.393023,0.5498,1.0,1.4304
46,1.0,129,152,23,0.1513,129.0,60.0,19.18,18.0,1.0656,2.15,19.08,0.0,0.06,1144.39,60,1.292437,51352.812109,1.474808,-0.481964,0.7141,1.0,1.338
47,1.0,120,156,36,0.2308,120.0,60.0,8.31,18.0,0.4615,2.0,8.21,0.0,0.06,1064.08,60,0.201224,46056.491797,1.476041,-0.392229,0.5551,1.0,1.3317
48,1.0,123,148,25,0.1689,123.0,60.0,16.12,18.0,0.8957,2.05,16.02,0.0,0.06,1009.39,60,0.484846,47857.239844,1.477001,-0.372194,0.6255,1.0,1.3706
