episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,buffer_size,critic_loss,actor_loss,alpha,consistency_loss,contrastive_loss,mean_novelty,mean_weight,q_mean,novelty_raw,delta_mpl_cust_pred,delta_mpl_total,delta_mpl_cust,spread,spread_value,s_cust,s_plat,rebate,captured_spread,w_h_indexed,customer_cost,consumer_surplus
48,0.017,2,4,2,0.5,0.0968,120.0,60,-24.0,18.0,-1.3333,2.0,-24.1,0.1281,-1019.42,60,0.555,0.556,2940,12990.96875,-0.810771,0.099,0.0,0.0,0.5,1.0,0.68,0.7393,-3.975,120.0,-3.975,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
49,0.017,3,8,5,0.625,0.0967,180.0,60,-58.5,18.0,-3.25,3.0,-58.6,0.1334,2582.85,60,0.588,0.636,3000,13227.615234,-0.85886,0.099,0.0,0.0,0.5,1.0,0.73,0.7251,-2.0502,60.0,-2.0502,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
50,0.017,0,0,0,0.0,0.0967,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.1324,-6.0,60,0.574,0.592,3060,13284.072266,-0.908682,0.099,0.0,0.0,0.5,1.0,0.78,0.7333,-1.104,-180.0,-1.104,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
51,0.017,0,1,1,1.0,0.0966,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.1415,-11.5,60,0.533,0.618,3120,13404.435547,-0.961087,0.099,0.0,0.0,0.5,1.0,0.83,0.7542,-3.884,0.0,-3.884,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
52,0.017,1,2,1,0.5,0.0965,60.0,60,-12.0,18.0,-0.6667,1.0,-12.1,0.1455,-262.94,60,0.553,0.562,3180,13474.286133,-1.018395,0.0989,0.0,0.0,0.5,1.0,0.89,0.7493,-3.8164,60.0,-3.8164,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
53,0.017,0,2,2,1.0,0.0965,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.1545,-8.76,60,0.497,0.659,3240,13817.847656,-1.077614,0.0989,0.0,0.0,0.5,1.0,0.95,0.7135,-2.7884,-60.0,-2.7884,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
54,0.017,2,3,1,0.3333,0.0964,120.0,60,-4.0,18.0,-0.2222,2.0,-4.1,0.1569,2395.71,60,0.581,0.59,3300,13984.009766,-1.140074,0.0989,0.0,0.0,0.5,1.0,1.02,0.7175,-3.657,120.0,-3.657,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
55,0.017,2,5,3,0.6,0.0963,120.0,60,-36.0,18.0,-2.0,2.0,-36.1,0.1619,-1585.44,60,0.604,0.632,3360,14027.510742,-1.205736,0.0988,0.0,0.0,0.5,1.0,1.09,0.7379,-1.792,0.0,-1.792,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
56,0.017,2,5,3,0.6,0.0963,120.0,60,-36.0,18.0,-2.0,2.0,-36.1,0.167,220.79,60,0.614,0.677,3420,14112.140625,-1.275941,0.0988,0.0,0.0,0.5,1.0,1.16,0.7322,-1.7621,0.0,-1.7621,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
57,0.017,3,6,3,0.5,0.0962,180.0,60,-36.0,18.0,-2.0,3.0,-36.1,0.171,-714.51,60,0.553,0.644,3480,14342.201172,-1.352263,0.0988,0.0,0.0,0.5,1.0,1.24,0.7326,-1.7352,60.0,-1.7352,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
