episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
169,1.0,124,146,22,0.1507,124.0,60.0,18.52,18.0,1.0286,2.0667,18.42,1.7365,0.06,1291.43,60,0.694305,75648.938281,1.609988,-0.462087,0.0,1.0,1.3337
170,1.0,130,160,30,0.1875,130.0,60.0,14.62,18.0,0.8125,2.1667,14.53,1.7493,0.06,899.23,60,0.487553,31057.724219,1.610478,-0.437057,0.0,1.0,1.3992
171,1.0,121,143,22,0.1538,121.0,60.0,17.68,18.0,0.9825,2.0167,17.58,1.7587,0.06,976.33,60,25.190838,39541.173438,1.612466,-0.533949,0.0,1.0,1.3437
172,1.0,127,149,22,0.1477,127.0,60.0,19.35,18.0,1.0749,2.1167,19.25,1.7674,0.06,801.65,60,0.206282,39640.141797,1.618002,-0.262928,0.0,1.0,1.2946
173,1.0,116,151,35,0.2318,116.0,60.0,7.91,18.0,0.4396,1.9333,7.81,1.7846,0.06,125.46,60,0.996973,1892.125769,1.621864,-0.480116,0.0,1.0,1.355
174,1.0,114,138,24,0.1739,114.0,60.0,14.37,18.0,0.7986,1.9,14.27,1.796,0.06,271.15,60,0.289429,7584.981982,1.626349,-0.228047,0.0,1.0,1.3927
175,1.0,115,136,21,0.1544,115.0,60.0,16.74,18.0,0.9301,1.9167,16.64,1.8054,0.06,1089.33,60,0.507381,59881.856641,1.628841,-0.46382,0.0,1.0,1.3516
176,1.0,116,138,22,0.1594,116.0,60.0,16.31,18.0,0.906,1.9333,16.21,1.8154,0.06,1384.71,60,0.292084,75756.913281,1.629956,-0.360258,0.0,1.0,1.3722
177,1.0,108,125,17,0.136,108.0,60.0,17.71,18.0,0.984,1.8,17.61,1.823,0.06,1208.65,60,0.600041,69007.190625,1.630488,-0.32792,0.0,1.0,1.3198
178,1.0,112,146,34,0.2329,112.0,60.0,7.52,18.0,0.4177,1.8667,7.42,1.8403,0.06,247.93,60,0.505273,2590.780151,1.630999,-0.399262,0.0,1.0,1.2942
179,1.0,128,154,26,0.1688,128.0,60.0,16.79,18.0,0.9328,2.1333,16.69,1.8512,0.06,1131.42,60,7.770774,54269.333594,1.632064,-0.440742,0.0,1.0,1.3983
180,1.0,129,166,37,0.2229,129.0,60.0,9.95,18.0,0.5526,2.15,9.85,1.8674,0.06,589.08,60,0.117778,14947.682227,1.633584,-0.489075,0.0,1.0,1.3499
181,1.0,113,141,28,0.1986,113.0,60.0,11.46,18.0,0.6367,1.8833,11.36,1.8813,0.06,764.34,60,0.286136,27048.7875,1.634566,-0.45044,0.0,1.0,1.355
182,1.0,118,146,28,0.1918,118.0,60.0,12.77,18.0,0.7094,1.9667,12.67,1.8945,0.06,702.76,60,0.885799,19630.589844,1.635244,-0.351177,0.0,1.0,1.4591
183,1.0,115,141,26,0.1844,115.0,60.0,13.29,18.0,0.7386,1.9167,13.19,1.9069,0.06,987.3,60,0.959062,45292.655859,1.635908,-0.635815,0.0,1.0,1.2911
184,1.0,123,147,24,0.1633,123.0,60.0,16.82,18.0,0.9344,2.05,16.72,1.9172,0.06,904.01,60,2.154117,31461.359961,1.636777,-0.622869,0.0,1.0,1.394
185,1.0,129,146,17,0.1164,129.0,60.0,23.68,18.0,1.3155,2.15,23.58,1.9229,0.06,1329.75,60,0.889506,72544.0625,1.638153,-0.452329,0.0,1.0,1.4557
186,1.0,130,151,21,0.1391,130.0,60.0,20.92,18.0,1.1623,2.1667,20.82,1.9308,0.06,1534.84,60,0.175,81989.023438,1.639005,-0.233341,0.0,1.0,1.5044
187,1.0,127,152,25,0.1645,127.0,60.0,17.21,18.0,0.9562,2.1167,17.11,1.9412,0.06,1135.84,60,0.232771,54139.896484,1.639427,-0.292453,0.0,1.0,1.2875
188,1.0,119,140,21,0.15,119.0,60.0,17.85,18.0,0.9917,1.9833,17.75,1.9502,0.06,1249.55,60,0.261485,69279.496875,1.639696,-0.404227,0.0,1.0,1.3587
189,1.0,111,141,30,0.2128,111.0,60.0,9.68,18.0,0.5379,1.85,9.58,1.9655,0.06,577.13,60,0.77336,23394.991992,1.639998,-0.425299,0.0,1.0,1.3072
190,1.0,121,153,32,0.2092,121.0,60.0,10.99,18.0,0.6107,2.0167,10.89,1.9804,0.06,705.47,60,0.140163,21229.20293,1.640472,-0.279233,0.0,1.0,1.2864
191,1.0,123,154,31,0.2013,123.0,60.0,12.14,18.0,0.6745,2.05,12.04,1.9946,0.06,736.76,60,4.301164,19738.308789,1.64108,-0.449579,0.0,1.0,1.4723
192,1.0,94,115,21,0.1826,94.0,60.0,11.03,18.0,0.613,1.5667,10.93,2.0068,0.06,826.8,60,0.030064,21525.394336,1.642408,-0.335616,0.0,1.0,1.3916
193,1.0,104,127,23,0.1811,104.0,60.0,12.37,18.0,0.687,1.7333,12.27,2.0189,0.06,656.39,60,1.058692,18126.312305,1.643413,-0.500473,0.0,1.0,1.4785
